agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Macomb County Sheriff's Office,Sheriff's office,245, , , , , ,43565 Elizabeth St, , ,Mount Clemens,MI,Macomb,48043, , , , ,26099
Port St. Lucie Police Department,Local police department,245, , , , , ,121 Sw Port St. Lucie Blvd., , ,Port St. Lucie,FL,St. Lucie,34984, , , , ,12111
Kalamazoo Dept of Public Safety,Local police department,244, , , , , ,150 E Crosstown Pky,Suite A, ,Kalamazoo,MI,Kalamazoo,49001, , , , ,26077
Chula Vista Police Department,Local police department,244, , , , , ,315 Fourth Avenue, , ,Chula Vista,CA,San Diego,91910, , , , ,6073
Spokane County Sheriff's Office,Sheriff's office,244, , , , , ,1100 W Mallon Ave,Public Safety Bldg, ,Spokane,WA,Spokane,99260, , , , ,53063
Horry County Police Department,Local police department,243, , , , , ,"2560 N. Main Street, Suite 7", , ,Conway,SC,Horry,29526, , , , ,45051
Gary Police,Local police department,243, , , , , ,Ste 4002,555 Polk St., ,Gary,IN,Lake,46402, , , , ,18089
Lafayette Police Department,Local police department,243, , , , , ,Post Office Box 87, , ,Lafayette,LA,Lafayette,70502, , , , ,22055
Iberia Parish Sheriff's Office,Sheriff's office,242, , , , , ,300 S Iberia St Ste 120, , ,New Iberia,LA,Iberia,70560, , , , ,22045
Onondaga County Sheriff's Office,Sheriff's office,242, , , , , ,407 S State St, , ,Syracuse,NY,Onondaga,13202, , , , ,36067
Lansing Police Department,Local police department,240, , , , , ,PO BOX 470, , ,Lansing,MI,Ingham,48933, , , , ,26065
Harris County Constable Pct. 1,Constable/marshal,240, , , , , ,"1302 Preston, 3Rd Floor", , ,Houston,TX,Harris,77002, , , , ,48201
Guilford County Sheriff's Office,Sheriff's office,240, , , , , ,Po Box 3427, , ,Greensboro,NC,Guilford,27402, , , , ,37081
Galveston County Sheriff's Office,Sheriff's office,240, , , , , ,601-54Th St, , ,Galveston,TX,Galveston,77551, , , , ,48167
Lowell Police Department,Local police department,239, , , , , ,50 Arcand Dr, , ,Lowell,MA,Middlesex,1852, , , , ,25017
Jefferson County Sheriff's Office,Sheriff's office,239, , , , , ,16001 State Route 7, , ,Louisville,KY,Jefferson,40202, , , , ,21111
Clarksville Police Department,Local police department,238, , , , , ,800 W. Main Street, , ,Clarksville,TN,Montgomery,37040, , , , ,47125
Pembroke Pines Police Department,Local police department,238, , , , , ,9500 Pines Boulevard, , ,Pembroke Pines,FL,Broward,33024, , , , ,12011
South Carolina Department of Natural Resources,Special jurisdiction,238, , , , , ,Po Box 167, , ,Columbia,SC,Richland,29202, , , , ,45079
Fall River Police Department,Local police department,237, , , , , ,641 South Main Street,P.O. Box 37, ,Fall River,MA,Bristol,2721, , , , ,25005
Tulsa County Sheriff's Office,Sheriff's office,237, , , , , ,500 S Denver Ave, , ,Tulsa,OK,Tulsa,74103, , , , ,40143
Dallas/Fort Worth International Airport D.P.S.,Special jurisdiction,237, , , , , ,P. O. Box 619428, , ,D/Fw Airport,TX,Dallas,75261, , , , ,48113
Portsmouth Police Department,Local police department,235, , , , , ,700 Crawford St., , ,Portsmouth,VA,Portsmouth City,23704, , , , ,51740
Torrance Police Department,Local police department,235, , , , , ,3300 Civic Center Drive, , ,Torrance,CA,Los Angeles,90503, , , , ,6037
Ramsey County Sheriff's Office,Sheriff's office,235, , , , , ,222 Walnut St W, , ,Saint Paul,MN,Ramsey,55101, , , , ,27123
Prince George's County Sheriff's Office,Sheriff's office,233, , , , , ,Po Box 548, , ,Upper Marlboro,MD,Prince Georges,20773, , , , ,24033
Hampton Police Department,Local police department,232, , , , , ,40 Lincoln St., , ,Hampton,VA,Hampton City,23669, , , , ,51650
Chatham County Sheriff's Office,Sheriff's office,232, , , , , ,1050 Carl Griffin Dr,PO Box 10026, ,Savannah,GA,Chatham,31405, , , , ,13051
Buncombe County Sheriff's Office,Sheriff's office,231, , , , , ,202 Haywood St, , ,Asheville,NC,Buncombe,28801, , , , ,37021
Warren Police Department,Local police department,230, , , , , ,318 W Third Ave, , ,Warren,MI,Macomb,48093, , , , ,26099
Brownsville Police Department,Local police department,230, , , , , ,600 E. Jackson, , ,Brownsville,TX,Cameron,78520, , , , ,48061
"Mississippi Department of Wildlife, Fisheries & Parks",Special jurisdiction,230, , , , , ,Post Office Box 451, , ,Jackson,MS,Hinds,39205, , , , ,28049
Stanislaus County Sheriff's Office,Sheriff's office,230, , , , , ,250 E Hackett Rd, , ,Modesto,CA,Stanislaus,95358, , , , ,6099
Ontario Police Department,Local police department,230, , , , , ,555 North Stumbo Road, , ,Ontario,CA,San Bernardino,91761, , , , ,6071
Oxnard Police Department,Local police department,228, , , , , ,"251 South ""C"" Street", , ,Oxnard,CA,Ventura,93030, , , , ,6111
Placer County Sheriff's Office,Sheriff's office,228, , , , , ,2929 Richardson Dr,PO Box 6990, ,Auburn,CA,Placer,95603, , , , ,6061
Muscogee County Sheriff's Office,Sheriff's office,228, , , , , ,Po Box 1338, , ,Columbus,GA,Muscogee,31902, , , , ,13215
Gilbert Police Department,Local police department,227, , , , , ,Po Box 600, , ,Gilbert,AZ,Maricopa,85296, , , , ,4013
Lakeland Police Department,Local police department,226, , , , , ,219 No. Massachusetts Avenue, , ,Lakeland,FL,Polk,33801, , , , ,12105
Mesquite Police Department,Local police department,226, , , , , ,500 Hillside Drive, , ,Mesquite,TX,Dallas,75149, , , , ,48113
Indian River County Sheriff's Office,Sheriff's office,226, , , , , ,Human Resources,4055 41st AVENUE, ,Verobeach,FL,Indian River,32960, , , , ,12061
High Point Police Department,Local police department,225, , , , , ,1009 Leonard Ave., , ,High Point,NC,Guilford,27260, , , , ,37081
Henry County Police Department,Local police department,225, , , , , ,108 South Zack Hinton Parkway, , ,McDonough,GA,Henry,30253, , , , ,13151
Chesterfield County Sheriff's Office,Sheriff's office,225, , , , , ,Po Box 7,9500 Courthouse Rd, ,Chesterfield,VA,Chesterfield,23832, , , , ,51041
Citrus County Sheriff's Office,Sheriff's office,224, , , , , ,1 Dr Martin Luther King Jr Ave, , ,Inverness,FL,Citrus,34450, , , , ,12017
Maryland Natural Resources Police,Special jurisdiction,224, , , , , ,580 Taylor Ave E-3, , ,Annapolis,MD,Anne Arundel,21401, , , , ,24003
Denton County Sheriff's Office,Sheriff's office,223, , , , , ,127 N Woodrow Ln, , ,Denton,TX,Denton,76205, , , , ,48121
Douglas County Sheriff's Office,Sheriff's office,223, , , , , ,6856 Broad St, , ,Douglasville,GA,Douglas,30134, , , , ,13097
Grand Prairie Police Department,Local police department,223, , , , , ,801 Conover Dr., , ,Grand Prairie,TX,Dallas,75051, , , , ,48113
Huntington Beach Police Department,Local police department,223, , , , , ,2000 Main Street, , ,Huntington Beach,CA,Orange,92648, , , , ,6059
Montgomery County Sheriff's Office,Sheriff's office,222, , , , , ,Po Box 432,200 Clark Dr, ,Dayton,OH,Montgomery,45401, , , , ,39113
Sioux Falls Police Department,Local police department,221, , , , , ,320 W. 4Th Street, , ,Sioux Falls,SD,Minnehaha,57104, , , , ,46099
Hudson County Sheriff's Office,Sheriff's office,221, , , , , ,595 Newark Ave, , ,Jersey City,NJ,Hudson,7306, , , , ,34017
Cape Coral Police Department,Local police department,220, , , , , ,815 Nicholas Parkway, , ,Cape Coral,FL,Lee,33990, , , , ,12071
"Calfornia DMV, Investigations Division",Special jurisdiction,219, , , , , ,2120 Broadway N215, , ,Sacramento,CA,Sacramento,95818, , , , ,6067
Manchester Police Department,Local police department,218, , , , , ,"3215 Long Lane, P.O.Box 830", , ,Manchester,NH,Hillsborough,3101, , , , ,33011
Montana Highway Patrol,Primary state law enforcement agency,218, , , , , ,2550 Prospect,PO BOX 201419, ,Helena,MT,Lewis and Clark,59601, , , , ,30049
Pinal County Sheriff's Office,Sheriff's office,218, , , , , ,"971 N Jason Lopez Circle, Bldg C",PO Box 867, ,Florence,AZ,Pinal,85232, , , , ,4021
Forsyth County Sheriff's Office,Sheriff's office,217, , , , , ,120 W 3Rd St,PO Box 21089, ,Winston Salem,NC,Forsyth,27101, , , , ,37067
Broome County Sheriff's Office,Sheriff's office,216, , , , , ,155 Lt Vanwinkle Dr, , ,Binghamton,NY,Broome,13905, , , , ,36007
Hanover County Sheriff's Office,Sheriff's office,215, , , , , ,Po Box 40, , ,Hanover,VA,Hanover,23069, , , , ,51085
Murfreesboro Police Department,Local police department,213, , , , , ,302 S. Church St., , ,Murfreesboro,TN,Rutherford,37130, , , , ,47149
Bay County Sheriff's Office,Sheriff's office,213, , , , , ,503 3Rd St, , ,Panama City,FL,Bay,32405, , , , ,12005
Athens-Clarke County Police Dept,Local police department,213, , , , , ,3035 Lexington Road, , ,Athens,GA,Clarke,30605, , , , ,13059
Bayonne Police,Local police department,212, , , , , ,630 Avenue C, , ,Bayonne,NJ,Hudson,7002, , , , ,34017
Asheville Police Department,Local police department,212, , , , , ,Po Box 7148, , ,Asheville,NC,Buncombe,28802, , , , ,37021
Rapides Parish Sheriff's Office,Sheriff's office,212, , , , , ,Po Box 1510, , ,Alexandria,LA,Rapides,71309, , , , ,22079
Arlington County Sheriff's Office,Sheriff's office,211, , , , , ,"1425 N Court House Rd, Ste 9100", , ,Arlington,VA,Arlington,22201, , , , ,51013
Sunnyvale Department of Public Safety,Local police department,210, , , , , ,P.O. Box 3707, , ,Sunnyvale,CA,Santa Clara,94088, , , , ,6085
Hammond Police,Local police department,210, , , , , ,509 Douglas Street, , ,Hammond,IN,Lake,46320, , , , ,18089
White Plains Police Department,Local police department,210, , , , , ,77 South Lexington Ave., , ,White Plains,NY,Westchester,10601, , , , ,36119
Miami-Dade School Police Department,Special jurisdiction,210, , , , , ,6100 Northwest 2Nd Avenue, , ,Miami,FL,Miami-Dade,33127, , , , ,12086
Oceanside Police Department,Local police department,210, , , , , ,3855 Mission Avenue, , ,Oceanside,CA,San Diego,92054, , , , ,6073
Philadelphia County Sheriff's Office,Sheriff's office,209, , , , , ,Land Title Bldg,100 South Broad St 5th Fl, ,Philadelphia,PA,Philadelphia,19110, , , , ,42101
North Carolina Wildlife Resources Commission,Special jurisdiction,209, , , , , ,1717 Msc, , ,Raleigh,NC,Wake,27699, , , , ,37183
Tennessee Dept. of Environment Conservation - Park Rangers,Special jurisdiction,209, , , , , ,401 Church Street,"1st Floor, L&C Annex", ,Nashville,TN,Davidson,37243, , , , ,47037
Beaufort County Sheriff's Office,Sheriff's office,209, , , , , ,2001 Duke St,PO Box 1758, ,Beaufort,SC,Beaufort,29902, , , , ,45013
Georgia Department of Natural Resources - Wildlife Resource Div.,Special jurisdiction,209, , , , , ,2070 U.S. Highway 278 Southwest, , ,Social Circle,GA,Walton,30025, , , , ,13297
Woodbridge Police,Local police department,206, , , , , ,1 Main Street, , ,Woodbridge,NJ,Middlesex,7095, , , , ,34023
Independence Police Department,Local police department,206, , , , , ,136 E. Main St.,P.O. Box 99, ,Independence,MO,Jackson,64051, , , , ,29095
Columbia County Sheriff's Office,Sheriff's office,206, , , , , ,4917 Us Highway 90, , ,Appling,GA,Columbia,30802, , , , ,13073
Williamson County Sheriff's Office,Sheriff's office,206, , , , , ,200 W Jefferson St, , ,Georgetown,TX,Williamson,78626, , , , ,48491
Metropolitan Washington Airports Authority Police,Special jurisdiction,206, , , , , ,"Headquarters Reagan-National,", , ,Arlington,VA,Arlington,22202, , , , ,51013
Quincy Police Department,Local police department,205, , , , , ,1 Sea Street, , ,Quincy,MA,Norfolk,2169, , , , ,25021
Santa Monica Police Department,Local police department,205, , , , , ,333 Olympic Drive, , ,Santa Monica,CA,Los Angeles,90401, , , , ,6037
Roanoke (City) Sheriff's Office,Sheriff's office,205, , , , , ,340 Campbell Ave, , ,Roanoke,VA,Roanoke City,24016, , , , ,51770
Mount Vernon Police Department,Local police department,205, , , , , ,1805 Continental Place, , ,Mount Vernon,NY,Westchester,10550, , , , ,36119
Wyoming Highway Patrol,Primary state law enforcement agency,204, , , , , ,5300 Bishop Blvd, , ,Cheyenne,WY,Laramie,82009, , , , ,56021
Flint Police Department,Local police department,204, , , , , ,210 E 5Th St, , ,Flint,MI,Genesee,48502, , , , ,26049
Jackson Police Department,Local police department,204, , , , , ,Po Box 614, , ,Jackson,TN,Madison,38301, , , , ,47113
Kent County Sheriff's Office,Sheriff's office,204, , , , , ,P. O. Box 7,101 N. Main St., ,Grand Rapids,MI,Kent,49503, , , , ,26081
Missouri Dept. of Conservation,Special jurisdiction,204, , , , , ,2901 W Truman Blvd, , ,Jefferson City,MO,Cole,65109, , , , ,29051
Reading Police Department,Local police department,203, , , , , ,15 Union Street, , ,Reading,PA,Berks,19601, , , , ,42011
Allegheny County Police Department.,Local police department,202, , , , , ,400 North Lexington St. Suite 201, , ,Pittsburgh,PA,Allegheny,15208, , , , ,42003
Marin County Sheriff's Office,Sheriff's office,202, , , , , ,3501 Civic Central Dr,Room 145, ,San Rafael,CA,Marin,94903, , , , ,6041
Coral Springs Police Department,Local police department,202, , , , , ,2801 Coral Springs Drive, , ,Coral Springs,FL,Broward,33065, , , , ,12011
Wilson County Sheriff's Office,Sheriff's office,202, , , , , ,925 Pierce St, , ,Lebanon,TN,Wilson,37087, , , , ,47189
Indiana Department of Natural Resources,Special jurisdiction,201, , , , , ,Law Enforcement Division,402 W. Washington St. Room W255D, ,Indianapolis,IN,Marion,46204, , , , ,18097
New Jersey Transit Police,Special jurisdiction,201, , , , , ,One Penn Plaza East,7th Floor, ,Newark,NJ,Essex,7105, , , , ,34013
Rhode Island State Police,Primary state law enforcement agency,201, , , , , ,311 Danielson Pike, , ,North Scituate,RI,Providence,2857, , , , ,44007
Minnesota Dept of Natural Resources - Enforcement Division,Special jurisdiction,200, , , , , ,P.O. Box 47,500 LAFAYETTE RD., ,St. Paul,MN,Ramsey,55155, , , , ,27123
Allentown Police Department,Local police department,200, , , , , ,425 Hamilton St, , ,Allentown,PA,Lehigh,18101, , , , ,42077
Bradley County Sheriff's Office,Sheriff's office,200, , , , , ,107 N. Myrtle St., , ,Cleveland,TN,Bradley,37311, , , , ,47011
Middlesex Sheriff's Office,Sheriff's office,200, , , , , ,"400 MYSTIC AVENUE, 4TH FLOOR", , ,Medford,MA,Middlesex,2155, , , , ,25017
McLennan County Sheriff's Office,Sheriff's office,200, , , , , ,901 Washington Avenue, , ,Waco,TX,McLennan,76701, , , , ,48309
Vancouver Police Department,Local police department,199, , , , , ,605 E. Evergreen Boulevard,PO BOX 1995, ,Vancouver,WA,Clark,98668, , , , ,53011
Dearborn Police Department,Local police department,198, , , , , ,16099 Michigan Ave, , ,Dearborn,MI,Wayne,48126, , , , ,26163
Brockton Police Department,Local police department,197, , , , , ,7 Commercial St, , ,Brockton,MA,Plymouth,2302, , , , ,25023
North Carolina DMV Enforcement,Special jurisdiction,197, , , , , ,1100 New Bern Ave., , ,Raleigh,NC,Wake,27697, , , , ,37183
Houston I.S.D. Police Dept.,Special jurisdiction,197, , , , , ,3500 TAMPA STREET, , ,Houston,TX,Harris,77021, , , , ,48201
Cedar Rapids Police Department,Local police department,197, , , , , ,505 1St St Sw, , ,Cedar Rapids,IA,Linn,52404, , , , ,19113
Irvine Police Department,Local police department,197, , , , , ,101 Chestnut Street, , ,Irvine,CA,Orange,92606, , , , ,6059
Oklahoma County Sheriff's Office,Sheriff's office,196, , , , , ,201 N Shartel Ave, , ,Oklahoma City,OK,Oklahoma,73102, , , , ,40109
Racine Police Department,Local police department,195, , , , , ,405 Main Street,P.O. Box 399, ,Racine,WI,Racine,53403, , , , ,55101
Michigan Department of Natural Resources,Special jurisdiction,195, , , , , ,Law Enforcement Division,PO Box 30031, ,Lansing,MI,Ingham,48909, , , , ,26065
Pueblo Police Dept,Local police department,195, , , , , ,130 Central Main St., , ,Pueblo,CO,Pueblo,81003, , , , ,8101
Gulfport Police Department,Local police department,193, , , , , ,Post Office Drawer S, , ,Gulfport,MS,Harrison,39502, , , , ,28047
Passaic Police,Local police department,193, , , , , ,330 Passaic Street, , ,Passaic,NJ,Passaic,7055, , , , ,34031
Kenosha Police Department,Local police department,192, , , , , ,1000 55Th Street, , ,Kenosha,WI,Kenosha,53140, , , , ,55059
BART Police Department,Special jurisdiction,192, , , , , ,P.O. Box 12500, , ,Oakland,CA,Alameda,94504, , , , ,6001
Florence County Sheriff's Office,Sheriff's office,192, , , , , ,Po Box 678, , ,Effingham,SC,Florence,29541, , , , ,45041
Anderson County Sheriff's Office,Sheriff's office,191, , , , , ,141 S Main St, , ,Anderson,SC,Anderson,29625, , , , ,45007
Pennsylvania Game Commission - Law Enforcement,Special jurisdiction,191, , , , , ,2001 Elmerton Ave, , ,Harrisburg,PA,Dauphin,17110, , , , ,42043
Irvington Police,Local police department,190, , , , , ,1 Civic Square, , ,Irvington,NJ,Essex,7111, , , , ,34013
Killeen Police Department,Local police department,190, , , , , ,402 N. 2Nd Street, , ,Killeen,TX,Bell,76541, , , , ,48027
Miami Gardens Police Department,Local police department,190, , , , , ,1515 NW 167th St., , ,Miami Gardens,FL,Miami-Dade,33169, , , , ,12086
Santa Rosa County Sheriff's Office,Sheriff's office,190, , , , , ,Po Box 7129, , ,Milton,FL,Santa Rosa,32572, , , , ,12113
Newport News (City) Sheriff's Office,Sheriff's office,189, , , , , ,Po Box 57, , ,Newport News,VA,Newport News City,23607, , , , ,51700
Wisconsin Department of Natural Resources,Special jurisdiction,189, , , , , ,"101 S Webster, P.O. Box 7921",Bureau of Law Enforcement, ,Madison,WI,Dane,53707, , , , ,55025
Monroe County Sheriff's Office,Sheriff's office,189, , , , , ,301 N College Ave,Justice Building, ,Key West,FL,Monroe,33040, , , , ,12087
Rutherford County Sheriff's Office,Sheriff's office,189, , , , , ,198 N Washington St, , ,Murfreesboro,TN,Rutherford,37129, , , , ,47149
St. Bernard Parish Sheriff's Office,Sheriff's office,189, , , , , ,8201 W Judge Perez Dr,Ste 210, ,Chalmette,LA,St. Bernard,70044, , , , ,22087
Peoria Police Department,Local police department,189, , , , , ,8351 W. Cinnabar Avenue, , ,Peoria,AZ,Maricopa,85345, , , , ,4013
Edison Police,Local police department,189, , , , , ,100 Municipal Boulevard, , ,Edison,NJ,Middlesex,8817, , , , ,34023
Monroe Police Department,Local police department,188, , , , , ,818 W Main, , ,Monroe,LA,Ouachita,71210, , , , ,22073
Cabarrus County Sheriff's Office,Sheriff's office,188, , , , , ,Po Box 525, , ,Concord,NC,Cabarrus,28026, , , , ,37025
Lake County Sheriff's Office,Sheriff's office,188, , , , , ,513 CENTER STREET, , ,Waukegan,IL,Lake,60085, , , , ,17097
Boca Raton Police Department,Local police department,188, , , , , ,100 N.W. 2Nd Avenue, , ,Boca Raton,FL,Palm Beach,33432, , , , ,12099
Mississippi Department of Transportation,Special jurisdiction,188, , , , , ,401 North West Street, , ,Jackson,MS,Hinds,39201, , , , ,28049
Salem Police Department,Local police department,187, , , , , ,5 Park Avenue, , ,Salem,OR,Marion,97301, , , , ,41047
Inglewood Police Department,Local police department,187, , , , , ,One Manchester Blvd., , ,Inglewood,CA,Los Angeles,90301, , , , ,6037
Berkeley Police Department,Local police department,186, , , , , ,5850 N Hanley Rd, , ,Berkeley,CA,Alameda,94704, , , , ,6001
West Valley City Police Department,Local police department,186, , , , , ,3600 South Constitution Blvd, , ,West Valley City,UT,Salt Lake,84119, , , , ,49035
Tyler Police Department,Local police department,185, , , , , ,711 West Ferguson St., , ,Tyler,TX,Smith,75702, , , , ,48423
New Rochelle Police Department,Local police department,185, , , , , ,475 North Avenue, , ,New Rochelle,NY,Westchester,10801, , , , ,36119
North Little Rock Police Dept.,Local police department,185, , , , , ,200 Pershing Blvd, , ,North Little Rock,AR,Pulaski,72114, , , , ,5119
Hayward Police Department,Local police department,185, , , , , ,15889 West Third Street,P.O. Box 969, ,Hayward,CA,Alameda,94544, , , , ,6001
North Carolina Division of State Parks & Recreation,Special jurisdiction,185, , , , , ,1615 Msc, , ,Raleigh,NC,Wake,27699, , , , ,37183
Fontana Police Department,Local police department,184, , , , , ,17005 Upland Avenue, , ,Fontana,CA,San Bernardino,92335, , , , ,6071
Naperville Police Dept,Local police department,184, , , , , ,1350 W. Aurora Avenue, , ,Naperville,IL,Du Page,60540, , , , ,17043
Coral Gables Police Department,Local police department,184, , , , , ,2801 Salzedo Street, , ,Coral Gables,FL,Miami-Dade,33134, , , , ,12086
Albany Police Department,Local police department,184, , , , , ,204 Water St., , ,Albany,GA,Dougherty,31702, , , , ,13095
St. Louis (city) Sheriff's Office,Sheriff's office,183, , , , , ,1114 Market St,#112, ,Saint Louis,MO,St. Louis City,63101, , , , ,29510
Arkansas Game And Fish - Enforcement Division,Special jurisdiction,183, , , , , ,#2 Nautral Resources Drive, , ,Little Rock,AR,Pulaski,72205, , , , ,5119
West Baton Rouge Parish Sheriff's Office,Sheriff's office,183, , , , , ,Po Box 129,850 8th St, ,Port Allen,LA,West Baton Rouge,70767, , , , ,22121
Sullivan County Sheriff's Office,Sheriff's office,183, , , , , ,24 S State St, , ,Blountville,TN,Sullivan,37617, , , , ,47163
Sarasota Police Department,Local police department,183, , , , , ,Post Office Box 3528, , ,Sarasota,FL,Sarasota,34230, , , , ,12115
Pomona Police Department,Local police department,182, , , , , ,490 W. Mission Boulevard, , ,Pomona,CA,Los Angeles,91766, , , , ,6037
Fremont Police Department,Local police department,182, , , , , ,P.O. Box 1,425 Main Street, ,Fremont,CA,Alameda,94538, , , , ,6001
Bellevue Police Department,Local police department,182, , , , , ,450 110Th Ave Ne,PO BOX 90012, ,Bellevue,WA,King,98009, , , , ,53033
Youngstown Police Department,Local police department,182, , , , , ,116 West Boardman Street, , ,Youngstown,OH,Mahoning,44503, , , , ,39099
Charleston Police Department,Local police department,182, , , , , ,Post Office Box 420, , ,Charleston,WV,Kanawha,25330, , , , ,54039
Hamilton Police,Local police department,182, , , , , ,1270 Whitehorse-Mercerville Road, , ,Hamilton,NJ,Mercer,8619, , , , ,34021
Elgin Police Dept,Local police department,181, , , , , ,Box 240, , ,Elgin,IL,Kane,60120, , , , ,17089
Plantation Police Department,Local police department,180, , , , , ,451 Northwest 70Th Terrace, , ,Plantation,FL,Broward,33317, , , , ,12011
Green Bay Police Department,Local police department,179, , , , , ,307 South Adams Street, , ,Green Bay,WI,Brown,54301, , , , ,55009
Utica Police Department,Local police department,179, , , , , ,413 Oriskany Street West, , ,Utica,NY,Oneida,13502, , , , ,36065
Eugene Police Department,Local police department,179, , , , , ,Training Section-1705 W. 2Nd Ave, , ,Eugene,OR,Lane,97402, , , , ,41039
El Dorado County Sheriff's Office,Sheriff's office,179, , , , , ,300 Fair Ln, , ,Placerville,CA,El Dorado,95667, , , , ,6017
Corona Police Department,Local police department,179, , , , , ,849 W. Sixth Street, , ,Corona,CA,Riverside,92882, , , , ,6065
Santa Rosa Police Department,Local police department,179, , , , , ,P. O. Box 326, , ,Santa Rosa,CA,Sonoma,95404, , , , ,6097
Harris County Metropolitan Transit Authority Police Dept.,Special jurisdiction,179, , , , , ,810 N. San Jacinto, , ,Houston,TX,Harris,77002, , , , ,48201
Myrtle Beach Police Department,Local police department,179, , , , , ,1101 Oak Street, , ,Myrtle Beach,SC,Horry,29577, , , , ,45051
Bossier City Police Dept,Local police department,178, , , , , ,Po Box 6216, , ,Bossier City,LA,Bossier,71171, , , , ,22015
Lynn Police Department,Local police department,178, , , , , ,300 Washington St, , ,Lynn,MA,Essex,1902, , , , ,25009
Greenville Police Department,Local police department,178, , , , , ,Po Box 1109, , ,Greenville,SC,Greenville,29601, , , , ,45045
Kansas Dept of Wildlife & Parks,Special jurisdiction,178, , , , , ,512 Se 25Th Ave, , ,Pratt,KS,Pratt,67124, , , , ,20151
Westminster Police Dept,Local police department,178, , , , , ,9110 Yates Street, , ,Westminster,CO,Adams,80031, , , , ,8001
Warwick Police Department,Local police department,177, , , , , ,99 Veterans Memorial Drive, , ,Warwick,RI,Kent,2886, , , , ,44003
Wichita Falls Police Department,Local police department,177, , , , , ,610 Holliday, , ,Wichita Falls,TX,Wichita,76301, , , , ,48485
Salinas Police Department,Local police department,177, , , , , ,222 Lincoln Avenue, , ,Salinas,CA,Monterey,93901, , , , ,6053
Frederick County Sheriff's Office,Sheriff's office,177, , , , , ,Frederick County Sheriff'S Office,1080 Coverstone Dr, ,Frederick,MD,Frederick,21701, , , , ,24021
Blount County Sheriff's Office,Sheriff's office,176, , , , , ,225 Industrial Park Rd, , ,Maryville,TN,Blount,37804, , , , ,47009
Union County Sheriff's Office,Sheriff's office,176, , , , , ,250 American Rd, , ,Elizabeth,NJ,Union,7207, , , , ,34039
Palm Beach County School District Police,Special jurisdiction,176, , , , , ,3330 Forest Hill Blvd. Suite 127-B, , ,West Palm Beach,FL,Palm Beach,33406, , , , ,12099
Greenville Police Department,Local police department,175, , , , , ,Po Box 1109, , ,Greenville,NC,Pitt,27835, , , , ,37147
Paulding County Sheriff's Office,Sheriff's office,175, , , , , ,500 E Perry St, , ,Dallas,GA,Paulding,30132, , , , ,13223
Sunrise Police Department,Local police department,175, , , , , ,777 Sawgrass Corporate Parkway, , ,Sunrise,FL,Broward,33323, , , , ,12011
Boulder County Sheriff's Office,Sheriff's office,174, , , , , ,1777 6Th St, , ,Boulder,CO,Boulder,80302, , , , ,8013
Sterling Heights Police Department,Local police department,172, , , , , ,40333 Dodge Park Rd, , ,Sterling Heights,MI,Macomb,48313, , , , ,26099
Lane County Sheriff's Office,Sheriff's office,172, , , , , ,Po Box 478, , ,Eugene,OR,Lane,97401, , , , ,41039
Canton Police Department,Local police department,172, , , , , ,P.O. Box 382, , ,Canton,OH,Stark,44702, , , , ,39151
Alexandria (City) Sheriff's Office,Sheriff's office,172, , , , , ,2003 Mill Road, , ,Alexandria,VA,Alexandria City,22314, , , , ,51510
Bartow County Sheriff's Office,Sheriff's office,172, , , , , ,104 Zena Dr,PO Box 476, ,Cartersville,GA,Bartow,30121, , , , ,13015
Plymouth County Sheriff's Office,Sheriff's office,172, , , , , ,451 14Th Ave Ne, , ,Plymouth,MA,Plymouth,2360, , , , ,25023
Sedgwick County Sheriff's Office,Sheriff's office,172, , , , , ,315 Cedar St,Courthouse, ,Wichita,KS,Sedgwick,67203, , , , ,20173
Nashua Police Department,Local police department,172, , , , , ,Po Box 38, , ,Nashua,NH,Hillsborough,3061, , , , ,33011
Suffolk Police Department,Local police department,171, , , , , ,120 Henley Place, , ,Suffolk,VA,Suffolk,23434, , , , ,51800
Miramar Police Department,Local police department,171, , , , , ,3064 North Commerce Parkway, , ,Miramar,FL,Broward,33025, , , , ,12011
Clarkstown Town Police Department,Local police department,170, , , , , ,20 Maple Avenue, , ,New City,NY,Rockland,10956, , , , ,36087
Middlesex County Sheriff's Department,Sheriff's office,170, , , , , ,P. O. Box 1188,701 Livingston Avenue, ,New Brunswick,NJ,Middlesex,8903, , , , ,34023
Rockdale County Sheriff's Office,Sheriff's office,170, , , , , ,911 Chambers Dr Nw, , ,Conyers,GA,Rockdale,30012, , , , ,13247
Mobile County Sheriff's Office,Sheriff's office,170, , , , , ,Po Box 113, , ,Mobile,AL,Mobile,36601, , , , ,1097
California Dept. of Alcoholic Beverage Control,Special jurisdiction,170, , , , , ,3927 Lennane Dr,Ste 100, ,Sacramento,CA,Sacramento,95834, , , , ,6067
Fort Myers Police Department,Local police department,170, , , , , ,2210 Widman Way, , ,Fort Myers,FL,Lee,33901, , , , ,12071
Lake County Sheriff's Office,Sheriff's office,170, , , , , ,513 CENTER STREET, , ,Crown Point,IN,Lake,46307, , , , ,18089
Union County Sheriff's Office,Sheriff's office,170, , , , , ,250 American Rd, , ,Monroe,NC,Union,28112, , , , ,37179
