agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
New York State Metropolitan Transportation Authority Police,Special jurisdiction,694, , , , , ,347 Madison Avenue, , ,New York,NY,New York,10017, , , , ,36061
Gwinnett County Police Department,Local police department,682, , , , , ,770 Hi Hope Road, , ,Lawrenceville,GA,Gwinnett,30045, , , , ,13135
Contra Costa County Sheriff's Office,Sheriff's office,679, , , , , ,"651 Pine St, 7Th Floor",PO Box 391, ,Martinez,CA,Contra Costa,94553, , , , ,6013
Iowa Department of Public Safety,Primary state law enforcement agency,669, , , , , ,215 E. 7th Street, , ,Des Moines,IA,Polk,50319, , , , ,19153
Colorado Springs Police Department,Local police department,668, , , , , ,705 S. Nevada Ave, , ,Colorado Springs,CO,El Paso,80901, , , , ,8041
West Virginia State Police,Primary state law enforcement agency,667, , , , , ,725 Jefferson Road, , ,South Charleston,WV,Kanawha,25309, , , , ,54039
Wichita Police Department,Local police department,662, , , , , ,455 N. Main - 4th Floor, , ,Wichita,KS,Sedgwick,67202, , , , ,20173
Delaware State Police,Primary state law enforcement agency,658, , , , , ,P.O. Box 430, , ,Dover,DE,Kent,19903, , , , ,10001
California Parks & Recreation - Law Enforcement,Special jurisdiction,645, , , , , ,1416 9Th Street, , ,Sacramento,CA,Sacramento,95814, , , , ,6067
Yonkers Police Department,Local police department,641, , , , , ,104 South Broadway, , ,Yonkers,NY,Westchester,10701, , , , ,36119
Toledo Police Department,Local police department,640, , , , , ,250 Nw Highway 20, , ,Toledo,OH,Lucas,43624, , , , ,39095
Anne Arundel County Police Department,Local police department,633, , , , , ,8495 Veterans Highway, , ,Millersville,MD,Anne Arundel,21108, , , , ,24003
Baton Rouge Police Department,Local police department,630, , , , , ,Po Box 2406, , ,Baton Rouge,LA,East Baton Rouge,70802, , , , ,22033
Collier County Sheriff's Office,Sheriff's office,628, , , , , ,"3301 E Tamiami Tr, Bldg J", , ,Naples,FL,Collier,34112, , , , ,12021
Aurora Police Department,Local police department,627, , , , , ,100 South Aurora Road, , ,Aurora,CO,Arapahoe,80012, , , , ,8005
Lee County Sheriff's Office,Sheriff's office,621, , , , , ,Po Box 177, , ,Fort Myers,FL,Lee,33912, , , , ,12071
Arlington Police Department,Local police department,610, , , , , ,620 W. Division, , ,Arlington,TX,Tarrant,76011, , , , ,48439
Polk County Sheriff's Office,Sheriff's office,600, , , , , ,Po Box 69, , ,Bartow,FL,Polk,33830, , , , ,12105
St. Paul Police Department,Local police department,598, , , , , ,P O  Box 66, , ,St. Paul,MN,Ramsey,55101, , , , ,27123
Oregon State Police,Primary state law enforcement agency,596, , , , , ,4190 Aumsville Highway Se, , ,Salem,OR,Marion,97317, , , , ,41047
Mississippi Highway Safety Patrol,Primary state law enforcement agency,594, , , , , ,1900 E Woodrow Wilson Boulevard,Human Resources, ,Jackson,MS,Hinds,39216, , , , ,28049
Greensboro Police Department,Local police department,593, , , , , ,1101 Main Street, , ,Greensboro,NC,Guilford,27402, , , , ,37081
Calcasieu Parish Sheriff's Office,Sheriff's office,592, , , , , ,Po Box 3722,5400 E Broad St, ,Lake Charles,LA,Calcasieu,70602, , , , ,22019
Cobb County Police Department,Local police department,590, , , , , ,140 North Marietta Parkway, , ,Marietta,GA,Cobb,30060, , , , ,13067
Los Angeles World Airports Police,Special jurisdiction,577, , , , , ,6150 Century Blvd,3rd Fl, ,Los Angeles,CA,Los Angeles,90045, , , , ,6037
Jefferson County Sheriff's Office,Sheriff's office,556, , , , , ,16001 State Route 7, , ,Birmingham,AL,Jefferson,35203, , , , ,1073
Henrico County Division of Police,Local police department,554, , , , , ,Post Office Box 90775,7721 East Parham Road, ,Henrico,VA,Henrico,23273, , , , ,51087
Pima County Sheriff's Dept.,Sheriff's office,554, , , , , ,1750 E. Benson Hwy, , ,Tucson,AZ,Pima,85714, , , , ,4019
Lexington Division of Police,Local police department,549, , , , , ,150 E. Main Street, , ,Lexington,KY,Fayette,40507, , , , ,21067
Prince William County Police Department,Local police department,546, , , , , ,1 County Complex Court, , ,Prince William,VA,Prince William,22192, , , , ,51153
Jefferson County Sheriff's Office,Sheriff's office,537, , , , , ,16001 State Route 7, , ,Golden,CO,Jefferson,80401, , , , ,8059
Savannah-Chatham Metropolitan Police Department,Local police department,534, , , , , ,Post Office Box 8032, , ,Savannah,GA,Chatham,31412, , , , ,13051
Gwinnett County Sheriff's Office,Sheriff's office,531, , , , , ,2900 University Pkwy, , ,Lawrenceville,GA,Gwinnett,30043, , , , ,13135
Minnesota State Patrol,Primary state law enforcement agency,530, , , , , ,444 Cedar St. Ste. 130, , ,St. Paul,MN,Ramsey,55101, , , , ,27123
Passaic County Sheriff's Office,Sheriff's office,530, , , , , ,435 Hamburg Tpke, , ,Wayne,NJ,Passaic,7470, , , , ,34031
New Mexico State Police,Primary state law enforcement agency,528, , , , , ,4491 Cerrillos Road, , ,Santa Fe,NM,Santa Fe,87507, , , , ,35049
Bexar County Sheriff's Office,Sheriff's office,526, , , , , ,200 N Comal, , ,San Antonio,TX,Bexar,78207, , , , ,48029
Arkansas State Police,Primary state law enforcement agency,525, , , , , ,#1 State Police Plaza Drive, , ,Little Rock,AR,Pulaski,72209, , , , ,5119
Kansas Highway Patrol,Primary state law enforcement agency,525, , , , , ,122 Sw Seventh St, , ,Topeka,KS,Shawnee,66603, , , , ,20177
Milwaukee County Sheriff's Office,Sheriff's office,524, , , , , ,821 W State St Rm 107, , ,Milwaukee,WI,Milwaukee,53233, , , , ,55079
Little Rock Police Department,Local police department,520, , , , , ,700 West Markham Street, , ,Little Rock,AR,Pulaski,72201, , , , ,5119
Fulton County Sheriff's Office,Sheriff's office,516, , , , , ,P. O. Box 7,2216 Myron Cory Drive, ,Atlanta,GA,Fulton,30303, , , , ,13121
