agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Montgomery County Police Department,Local police department,1206, , , , , ,2350 Research Blvd., , ,Rockville,MD,Montgomery,20850, , , , ,24031,"2350 Research Blvd., Rockville, MD 20850",39.1034006,-77.1861511
Louisville Metro Police Department,Local police department,1197, , , , , ,633 West Jefferson St., , ,Louisville,KY,Jefferson,40202, , , , ,21111,"633 West Jefferson St., Louisville, KY 40202",38.2546671,-85.761618
El Paso Police Department,Local police department,1132, , , , , ,911 N.  Raynor, , ,El Paso,TX,El Paso,79903, , , , ,48141,"911 N.  Raynor, El Paso, TX 79903",31.7834488,-106.4604002
Washington State Patrol,Primary state law enforcement agency,1132, , , , , ,Po Box 42601, , ,Olympia,WA,Thurston,98504, , , , ,53067,"Po Box 42601, Olympia, WA 98504",47.0378741,-122.9006951
Miami Police Department,Local police department,1104, , , , , ,P. O. Box 1206, , ,Miami,FL,Miami-Dade,33128, , , , ,12086,"P. O. Box 1206, Miami, FL 33128",25.7767549,-80.20284889999999
Cincinnati Police Department,Local police department,1082, , , , , ,310 Ezzard Charles Drive, , ,Cincinnati,OH,Hamilton,45214, , , , ,39061,"310 Ezzard Charles Drive, Cincinnati, OH 45214",39.1095967,-84.5208748
DeKalb County Police Department,Local police department,1074, , , , , ,1960 West Exchange Place, , ,Tucker,GA,DeKalb,30084, , , , ,13089,"1960 West Exchange Place, Tucker, GA 30084",33.8408368,-84.2457943
Wayne County Sheriff's Office,Sheriff's office,1062, , , , , ,510 N Pearl St, , ,Detroit,MI,Wayne,48226, , , , ,26163,"510 N Pearl St, Detroit, MI 48226",42.3121397,-83.1315265
Georgia Department of Public Safety,Primary state law enforcement agency,1048, , , , , ,P.O. Box 1456, , ,Atlanta,GA,Fulton,30371, , , , ,13121,"P.O. Box 1456, Atlanta, GA 30371",33.75,-84.39
Oklahoma City Police Department,Local police department,1046, , , , , ,701 Colcord Drive, , ,Okla. City,OK,Oklahoma,73102, , , , ,40109,"701 Colcord Drive, Okla. City, OK 73102",35.4689202,-97.524875
Tucson Police Department,Local police department,1032, , , , , ,270 South Stone Street, , ,Tucson,AZ,Pima,85701, , , , ,4019,"270 South Stone Street, Tucson, AZ 85701",32.21744350000001,-110.9713127
Missouri State Highway Patrol,Primary state law enforcement agency,1028, , , , , ,P O Box 568, , ,Jefferson City,MO,Cole,65102, , , , ,29051,"P O Box 568, Jefferson City, MO 65102",38.5,-92.14999999999999
Albuquerque Police Department,Local police department,1020, , , , , ,"400 Roma, Nw", , ,Albuquerque,NM,Bernalillo,87102, , , , ,35001,"400 Roma, Nw, Albuquerque, NM 87102",35.0888909,-106.6514194
Tampa Police Department,Local police department,980, , , , , ,411 North Franklin Street, , ,Tampa,FL,Hillsborough,33602, , , , ,12057,"411 North Franklin Street, Tampa, FL 33602",27.948315,-82.4579638
Long Beach Police Department,Local police department,968, , , , , ,400 West Broadway, , ,Long Beach,CA,Los Angeles,90802, , , , ,6037,"400 West Broadway, Long Beach, CA 90802",33.7690841,-118.1971124
South Carolina Highway Patrol,Primary state law enforcement agency,967, , , , , ,10311 Wilson Blvd, , ,Blythewood,SC,Richland,29016, , , , ,45079,"10311 Wilson Blvd, Blythewood, SC 29016",34.1782945,-80.97378959999999
Alameda County Sheriff's Office,Sheriff's office,928, , , , , ,"1401 Lakeside Dr, Ste 1200", , ,Oakland,CA,Alameda,94612, , , , ,6001,"1401 Lakeside Dr, Ste 1200, Oakland, CA 94612",37.8012612,-122.2629746
