Row Labels,agency_name,state,Full_Address,Count of agency_type
,Williamson County Sheriff's Office,TX,"200 W Jefferson St, Georgetown, TX 78626",1
Williamson County Sheriff's Office Count,,,,15
Yoakum Police Department,Austin Police Department,TX,"201 1St Street Ne, Austin, TX 78768",1
,Bexar County Sheriff's Office,TX,"200 N Comal, San Antonio, TX 78207",1
,Corpus Christi Police Department,TX,"P. O. Box 9016, Corpus Christi, TX 78469",1
,Fort Bend County Sheriff's Office,TX,"1410 Ransom Rd, Richmond, TX 77469",1
,Harris County Constable Pct. 5,TX,"17423 Katy Freeway, Houston, TX 77094",1
,Hays County Sheriff's Office,TX,"1307 Uhland Rd, San Marcos, TX 78666",1
,Round Rock Police Department,TX,"2701 N. Mays St., Round Rock, TX 78665",1
,San Antonio Police Department,TX,"214 W. Nueva St., San Antonio, TX 78207",1
,Sugar Land Police Department,TX,"PO BOX 110, Sugar Land, TX 77478",1
,Texas Alcoholic Beverage Commission,TX,"5806 Mesa Drive, Austin, TX 78731",1
,Texas Department of Public Safety,TX,"Attn: Cindy Torres, Hr, Austin, TX 78773",1
,Texas Parks & Wildlife Department,TX,"4200 Smith School Rd, Austin, TX 78744",1
,Travis County Sheriff's Office,TX,"P.O. Box 1748, Austin, TX 78767",1
Yoakum Police Department Count,,,,13
Grand Total,,,,142
